[ms, klicks seit letzter messung]

2011,0
3011,0
4012,0
5012,1
6013,0
7013,0
8014,1
9014,0
10015,0
11015,0
12016,0
13016,0
14017,0
15017,0
16018,1
17018,0
18019,0
19019,0
20020,0
21020,1
22021,0
23021,0
24022,0
25022,0
26023,0
27023,2
28024,0
29024,0
30025,0
31025,0
32026,2
33026,0
34027,0
35027,1
36028,1
37028,0
38029,0
39029,1
40030,0
41030,0
42031,0
43031,2
44032,0
45032,0
46033,0
47033,0
48034,0
49034,0
50035,0
51035,0
52036,0
53036,0
54037,0
55037,0
56038,0
57038,1
58039,0
59039,0
60040,0
61040,1
62041,1
63041,1
64042,0
65042,0
66043,0
67043,1
68044,0
69044,0
70045,1
71045,1
72046,0
73046,1
74047,1
75047,0
76048,0
77048,0
78049,0
79049,0
80050,0
81050,0
82051,0
83051,0
84052,1
85052,1
86053,0
87053,0
88054,0
89054,0
90071,1
91071,0
92072,0
93072,1
94073,0
95073,0
96074,1
97074,0
98075,1
99075,0
100076,1
101076,0
102077,2
103077,0
104078,0
105078,0
106079,0
107079,0
108080,0
109080,1
110081,0
111081,0
112082,1
113082,1
114083,0
115083,3
116084,0
117084,0
118085,0
119085,0
120086,1
121086,0
122087,0
123087,0
124088,0
125088,0
126089,1
127089,0
128090,0
129090,0
130091,1
131091,2
132092,1
133092,0
134093,1
135093,1
136094,0
137094,0
138095,0
139095,0
140096,1
141096,1
142097,2
143097,1
144098,0
145098,1
146099,1
147099,0
148100,1
149100,0
150101,0
151101,0
152102,0
153102,1
154103,1
155103,0
156104,0
157104,1
158105,1
159105,0
160106,0
161106,1
162107,0
163107,0
164108,0
165108,0
166109,1
167109,2
168110,0
169110,0
170111,0
171111,1
172112,0
173112,0
174113,1
175113,0
176114,0
177114,0
178115,0
179115,0
180116,0
181116,1
182117,0
183117,1
184118,0
185118,0
186119,0
187119,0
188120,0
189120,0
190121,0
191121,1
192122,1
193122,4
194123,0
195123,1
196124,1
197124,1
198125,1
199125,0
200126,1
201126,0
202127,0
203127,0
204128,1
205128,0
206129,0
207129,1
208130,0
209130,0
210131,0
211131,0
212132,1
213132,1
214133,1
215133,0
216134,1
217134,0
218135,1
219135,0
220136,2
221136,1
222137,2
223137,0
224138,0
225138,1
226139,0
227139,0
228140,2
229140,1
230141,1
231141,0
232142,1
233142,2
234143,0
235143,0
236144,0
237144,1
238145,2
239145,0
240146,1
241146,1
242147,0
243147,0
244148,2
245148,0
246149,0
247149,0
248150,1
249150,0
250151,0
251151,0
252152,2
253152,2
254153,0
255153,1
256154,0
257154,0
258155,2
259155,0
260156,1
261156,0
262157,0
263157,1
264158,1
265158,0
266159,1
267159,0
268160,0
269160,1
270161,0
271161,0
272162,0
273162,0
274163,2
275163,0
276164,0
277164,1
278165,0
279165,0
280166,0
281166,0
282167,1
283167,0
284168,0
285168,0
286169,0
287169,0
288170,0
289170,1
290171,0
291171,0
292172,0
293172,1
294173,2
295173,2
296174,0
297174,0
298175,1
299175,1
300176,1
301176,0
302177,0
303177,1
304178,0
305178,0
306179,0
307179,0
308180,0
309180,0
310181,0
311181,0
312182,1
313182,0
314183,0
315183,0
316184,0
317184,0
318185,0
319185,0
320186,0
321186,0
322187,0
323187,1
324188,0
325188,0
326189,0
327189,0
328190,0
329190,0
330191,0
331191,0
332192,0
333192,1
334193,0
335193,1
336194,2
337194,0
338195,0
339195,1
340196,2
341196,0
342197,0
343197,0
344198,0
345198,1
346199,1
347199,0
348200,1
349200,0
350201,0
351201,0
352202,2
353202,1
354203,0
355203,2
356204,0
357204,0
358205,0
359205,2
360206,0
361206,0
362207,0
363207,0
364208,0
365208,0
366209,0
367209,0
368210,2
369210,0
370211,0
371211,0
372212,0
373212,0
374213,0
375213,0
376214,0
377214,0
378215,0
379215,1
380216,1
381216,1
382217,0
383217,0
384218,0
385218,0
386219,2
387219,1
388220,0
389220,1
390221,0
391221,0
392222,0
393222,1
394223,0
395223,0
396224,0
397224,1
398225,0
399225,1
400226,1
401226,1
402227,0
403227,0
404228,2
405228,1
406229,1
407229,3
408230,0
409230,1
410231,0
411231,0
412232,0
413232,2
414233,0
415233,1
416234,0
417234,0
418235,0
419235,0
420236,1
421236,0
422237,0
423237,1
424238,0
425238,2
426239,0
427239,1
428240,1
429240,0
430241,0
431241,0
432242,1
433242,0
434243,0
435243,0
436244,2
437244,0
438245,1
439245,0
440246,0
441246,0
442247,0
443247,0
444248,0
445248,0
446249,0
447249,0
448250,0
449250,2
450251,0
451251,0
452252,0
453252,0
454253,0
455253,0
456254,0
457254,0
458255,0
459255,0
460256,0
461256,0
462257,1
463257,0
464258,1
465258,2
466259,2
467259,0
468260,1
469260,2
470261,1
471261,0
472262,0
473262,0
474263,0
475263,0
476264,0
477264,0
478265,2
479265,0
480266,0
481266,0
482267,1
483267,0
484268,1
485268,0
486269,0
487269,0
488270,0
489270,0
490271,0
491271,1
492272,1
493272,1
494273,0
495273,3
496274,0
497274,0
498275,0
499275,0
500276,0
501276,1
502277,2
503277,0
504278,0
505278,0
506279,0
507279,0
508280,0
509280,1
510281,0
511281,1
512282,0
513282,0
514283,0
515283,1
516284,0
517284,0
518285,0
519285,1
520286,1
521286,0
522287,0
523287,0
524288,0
525288,0
526289,0
527289,1
528290,0
529290,0
530291,1
531291,0
532292,1
533292,2
534293,1
535293,0
536294,2
537294,0
538295,0
539295,0
540296,0
541296,4
542297,0
543297,1
544298,1
545298,0
546299,1
547299,0
548300,0
549300,0
550301,0
551301,0
552302,0
553302,0
554303,0
555303,0
556304,1
557304,0
558305,1
559305,1
560306,0
561306,1
562307,0
563307,0
564308,1
565308,2
566309,0
567309,0
568310,0
569310,0
570311,0
571311,0
572312,2
573312,0
574313,0
575313,0
576314,1
577314,0
578315,0
579315,0
580316,0
581316,1
582317,1
583317,0
584318,0
585318,0
586319,1
587319,0
588320,1
589320,0
590321,1
591321,0
592322,1
593322,0
594323,0
595323,0
596324,1
597324,0
598325,0
599325,1
600326,0
601326,0
602327,1
603327,1
604328,0
605328,0
606329,1
607329,2
608330,0
609330,0
610331,1
611331,0
612332,3
613332,0
614333,1
615333,0
616334,0
617334,3
618335,2
619335,0
620336,0
621336,0
622337,1
623337,0
624338,0
625338,0
626339,0
627339,0
628340,0
629340,0
630341,2
631341,0
632342,2
633342,0
634343,0
635343,0
636344,0
637344,3
638345,0
639345,0
640346,0
641346,0
642347,1
643347,0
644348,0
645348,0
646349,1
647349,0
648350,0
649350,0
650351,0
651351,0
652352,4
653352,0
654353,0
655353,0
656354,0
657354,1
658355,0
659355,0
660356,0
661356,1
662357,0
663357,0
664358,1
665358,1
666359,0
667359,0
668360,0
