[ms, ppb]

5000,0
10000,0
15000,0
20000,0
25000,5
30000,16
35000,23
40000,28
45000,32
50000,34
55000,34
60000,34
65000,34
70000,34
75000,34
80000,35
85000,37
90000,39
95000,42
100000,45
105000,51
110000,57
115000,63
120000,70
125000,76
130000,81
135000,85
140000,90
145000,94
150000,98
155000,102
160000,105
165000,108
170000,111
175000,115
180000,118
185000,121
190000,122
195000,123
200000,122
205000,120
210000,118
215000,115
220000,112
225000,108
230000,103
235000,98
240000,92
245000,87
250000,83
255000,80
260000,78
265000,77
270000,76
275000,74
280000,72
285000,70
290000,68
295000,68
300000,68
305000,69
310000,71
315000,72
320000,74
325000,76
330000,78
335000,81
340000,84
345000,86
350000,88
355000,89
360000,90
365000,92
370000,94
375000,96
380000,98
385000,99
390000,98
395000,96
400000,93
405000,90
410000,85
415000,82
420000,79
425000,77
430000,76
435000,76
440000,75
445000,75
450000,76
455000,76
460000,77
465000,77
470000,77
475000,77
480000,77
485000,78
490000,80
495000,83
500000,87
505000,91
510000,95
515000,99
520000,101
525000,102
530000,102
535000,102
540000,101
545000,99
550000,97
555000,96
560000,95
565000,94
570000,93
575000,91
580000,90
585000,88
590000,86
595000,84
600000,83
605000,83
610000,83
615000,83
620000,82
625000,82
630000,81
635000,81
640000,82
645000,84
650000,87
655000,91
660000,95
665000,100
670000,104
675000,108
680000,115
685000,123
690000,134
695000,145
700000,156
705000,165
710000,170
715000,173
720000,175
725000,176
730000,177
735000,179
740000,179
745000,178
750000,177
755000,174
760000,171
765000,167
770000,163
775000,158
780000,151
785000,143
790000,134
795000,123
800000,111
805000,100
810000,96
815000,95
820000,96
825000,96
830000,94
835000,91
840000,88
845000,85
850000,82
855000,79
860000,75
865000,71
870000,68
875000,65
880000,61
885000,58
890000,54
895000,52
900000,49
905000,47
910000,42
915000,35
920000,29
925000,25
930000,22
935000,21
940000,21
945000,21
950000,20
955000,20
960000,20
965000,20
970000,20
975000,20
980000,20
985000,20
990000,20
995000,20
1000000,20
1005000,20
1010000,20
1015000,20
1020000,20
1025000,20
1030000,20
1035000,20
1040000,20
1045000,20
1050000,20
1055000,20
1060000,20
1065000,20
1070000,20
1075000,20
1080000,20
1085000,20
1090000,20
1095000,20
1100000,20
1105000,20
1110000,20
1115000,20
1120000,20
1125000,20
1130000,20
1135000,20
1140000,20
1145000,20
1150000,20
1155000,20
1160000,20
1165000,20
1170000,20
1175000,20
1180000,20
1185000,20
1190000,20
1195000,20
1200000,20
1205000,20
1210000,20
1215000,20
1220000,20
1225000,20
1230000,20
1235000,20
1240000,20
1245000,20
1250000,20
1255000,20
1260000,20
1265000,20
1270000,20
1275000,20
1280000,20
1285000,20
1290000,20
1295000,20
1300000,20
1305000,20
1310000,20
1315000,20
1320000,20
1325000,20
1330000,20
1335000,20
1340000,20
1345000,20
1350000,20
1355000,20
1360000,20
1365000,20
1370000,20
1375000,20
1380000,20
1385000,20
1390000,20
1395000,20
1400000,20
1405000,20
1410000,20
1415000,20
1420000,20
1425000,20
1430000,20
1435000,20
1440000,20
1445000,20
1450000,20
1455000,20
1460000,20
1465000,20
1470000,20
1475000,20
1480000,20
1485000,20
1490000,20
1495000,20
1500000,20
1505000,20
1510000,20
1515000,20
1520000,20
1525000,20
1530000,20
1535000,20
1540000,20
1545000,20
1550000,20
1555000,20
1560000,20
1565000,20
1570000,20
1575000,20
1580000,20
1585003,20
1590064,20
1595064,20
1600064,20
1605064,20
1610064,20
1615064,20
1620064,20
1625064,20
1630064,20
1635064,20
1640064,20
1645064,20
1650064,20
1655064,20
1660064,20
1665064,20
1670064,20
