# Wanna drop some funky stats & graphs? Go to 'www.stratoflights.com/auswertung' 

LOGGER_INFO_BEGIN
{info:{board_id:5,id_str:'STRATO4 Version 1.4',serial:'1638',hw_platform:{name:'stratologx-stm32l0',mcu:'ST STM32L072RZT6',v_ma:'1',v_mi:'4'},sw_version:{v_ma:'2',v_mi:'3',v_pa:'0',v_info:'STD',bt_t:'11:08:35',bt_d:'Oct 13 2023'}}}
LOGGER_INFO_END
CSV_DATA_SECTION_BEGIN
Uptime [s];GNSS: PPS Timestamp [s];GNSS: UTC date time (ISO 8601);GNSS: Fix type (0=no fix, others=fix);GNSS: Latitude [degrees];GNSS: Longitude [degrees];GNSS: Positional dilution of precision;GNSS: Altitude [m] (above Mean Sea Level);GNSS: Ground speed [km/h];GNSS: Satellites in view;GNSS: Altitude [m] (above ellipsoid);Temperature: Board [degC];Temperature: Ext LM75 1 [degC];Temperature: Ext MS8607 1 [degC];Pressure: Ext MS8607 [hPa];Humidity: Ext MS8607 [%];Light Intensity: UVA index [];Volt: Supply Voltage [V];Volt: 3.3V board voltage [V];Volt: 5V board voltage [V];Volt: Vin1 voltage [V];Volt: Vin2 voltage [V];Volt: Vin3 voltage [V];IO: In 1 State;IO: In 1 Timestamp [s];IO: In 2 State;IO: In 2 Timestamp [s];IO: Out 1 State;IO: Out 1 Timestamp [s];IO: Out 2 State;IO: Out 2 Timestamp [s]
8.009;0.000;0000-00-00T00:00:00.0Z;0;Inval.;Inval.;Inval.;Inval.;Inval.;0;Inval.;19.2;16.5;15.8;965.3;79.58;0.27;8.95;3.27;5.04;0.006;0.003;0.003;1;0.000;1;0.000;0;0.002;0;0.002
10.010;0.000;0000-00-00T00:00:00.0Z;0;Inval.;Inval.;Inval.;Inval.;Inval.;0;Inval.;19.1;16.5;15.9;965.5;79.61;0.30;8.94;3.27;5.04;0.006;0.006;0.003;1;0.000;1;0.000;0;0.002;0;0.002
12.007;0.000;0000-00-00T00:00:00.0Z;0;Inval.;Inval.;Inval.;Inval.;Inval.;0;Inval.;19.1;16.5;15.9;965.2;79.13;0.29;8.93;3.27;5.04;0.006;0.006;0.003;1;0.000;1;0.000;0;0.002;0;0.002
14.009;0.000;0000-00-00T00:00:00.0Z;0;Inval.;Inval.;Inval.;Inval.;Inval.;0;Inval.;19.1;16.6;15.9;965.3;78.79;0.30;8.91;3.27;5.04;0.009;0.009;0.003;1;0.000;1;0.000;0;0.002;0;0.002
16.009;0.000;0000-00-00T00:00:00.0Z;0;Inval.;Inval.;Inval.;Inval.;Inval.;0;Inval.;19.1;16.6;16.0;965.3;78.74;0.33;8.90;3.27;5.03;0.009;0.009;0.003;1;0.000;1;0.000;0;0.002;0;0.002
18.009;0.000;2015-10-20T07:17:09.0Z;0;Inval.;Inval.;Inval.;Inval.;Inval.;0;Inval.;19.2;16.7;16.0;965.5;78.28;0.31;8.89;3.27;5.04;0.012;0.012;0.006;1;0.000;1;0.000;0;0.002;0;0.002
20.010;0.000;2015-10-20T07:17:11.0Z;0;Inval.;Inval.;Inval.;Inval.;Inval.;0;Inval.;19.3;16.7;16.0;965.5;79.23;0.30;8.88;3.27;5.04;0.012;0.012;0.006;1;0.000;1;0.000;0;0.002;0;0.002
22.009;0.000;2015-10-20T07:17:13.0Z;0;Inval.;Inval.;Inval.;Inval.;Inval.;0;Inval.;19.3;16.8;16.1;965.3;82.09;0.36;8.86;3.27;5.04;0.016;0.015;0.006;1;0.000;1;0.000;0;0.002;0;0.002
24.010;0.000;2026-09-01T07:17:15.0Z;0;Inval.;Inval.;Inval.;Inval.;Inval.;0;Inval.;19.2;16.8;16.2;965.2;82.93;0.33;8.84;3.27;5.04;0.016;0.016;0.006;1;0.000;1;0.000;0;0.002;0;0.002
26.010;0.000;2026-09-01T07:17:17.0Z;0;Inval.;Inval.;Inval.;Inval.;Inval.;0;Inval.;19.2;17.0;16.2;965.3;83.60;0.29;8.84;3.27;5.04;0.018;0.016;0.006;1;0.000;1;0.000;0;0.002;0;0.002
28.009;0.000;2026-09-01T07:17:19.0Z;0;Inval.;Inval.;Inval.;Inval.;Inval.;0;Inval.;19.3;17.0;16.2;965.3;83.67;0.32;8.84;3.27;5.03;0.019;0.019;0.006;1;0.000;1;0.000;0;0.002;0;0.002
30.007;0.000;2026-09-01T07:17:21.0Z;0;Inval.;Inval.;Inval.;Inval.;Inval.;0;Inval.;19.3;17.0;16.3;965.5;82.50;0.29;8.99;3.27;5.05;0.019;0.019;0.008;1;0.000;1;0.000;0;0.002;0;0.002
32.006;0.000;2026-09-01T07:17:23.0Z;0;Inval.;Inval.;Inval.;Inval.;Inval.;0;Inval.;19.4;17.0;16.3;965.6;82.34;0.33;8.99;3.27;5.04;0.022;0.020;0.009;1;0.000;1;0.000;0;0.002;0;0.002
34.006;0.000;2026-09-01T07:17:25.0Z;0;Inval.;Inval.;Inval.;Inval.;Inval.;0;Inval.;19.2;17.1;16.3;965.3;81.49;0.30;8.99;3.27;5.04;0.022;0.022;0.009;1;0.000;1;0.000;0;0.002;0;0.002
36.006;0.000;2026-09-01T07:17:26.0Z;0;Inval.;Inval.;Inval.;Inval.;Inval.;0;Inval.;19.6;17.0;16.4;965.3;81.28;0.33;9.00;3.27;5.05;0.025;0.025;0.009;1;0.000;1;0.000;0;0.002;0;0.002
38.006;0.000;2026-09-01T07:17:26.0Z;0;Inval.;Inval.;Inval.;Inval.;Inval.;0;Inval.;19.6;17.2;16.5;965.4;82.35;0.32;8.99;3.27;5.04;0.025;0.025;0.009;1;0.000;1;0.000;0;0.002;0;0.002
40.008;0.000;2026-09-01T07:17:31.0Z;0;Inval.;Inval.;Inval.;Inval.;Inval.;0;Inval.;19.6;17.1;16.5;965.5;81.82;0.24;8.99;3.27;5.04;0.028;0.025;0.009;1;0.000;1;0.000;0;0.002;0;0.002
42.006;0.000;2026-09-01T07:17:31.0Z;0;Inval.;Inval.;Inval.;Inval.;Inval.;0;Inval.;19.4;17.3;16.5;965.5;81.62;0.21;8.99;3.27;5.05;0.028;0.028;0.011;1;0.000;1;0.000;0;0.002;0;0.002
44.006;0.000;2026-09-01T07:17:31.0Z;0;Inval.;Inval.;Inval.;Inval.;Inval.;0;Inval.;19.6;17.3;16.6;965.5;81.04;0.20;9.00;3.27;5.04;0.028;0.028;0.012;1;0.000;1;0.000;0;0.002;0;0.002
46.006;0.000;2026-09-01T07:17:31.0Z;0;Inval.;Inval.;Inval.;Inval.;Inval.;0;Inval.;19.4;17.2;16.6;965.5;81.10;0.19;8.99;3.27;5.04;0.032;0.029;0.012;1;0.000;1;0.000;0;0.002;0;0.002
48.008;0.000;2026-09-01T07:17:31.0Z;0;Inval.;Inval.;Inval.;Inval.;Inval.;0;Inval.;19.7;17.3;16.6;965.4;81.07;0.19;9.00;3.27;5.05;0.032;0.032;0.012;1;0.000;1;0.000;0;0.002;0;0.002
50.008;0.000;2026-09-01T07:17:31.0Z;0;Inval.;Inval.;Inval.;Inval.;Inval.;0;Inval.;19.4;17.2;16.6;965.6;79.99;0.22;9.00;3.28;5.05;0.034;0.032;0.012;1;0.000;1;0.000;0;0.002;0;0.002
52.009;0.000;2026-09-01T07:17:31.0Z;0;Inval.;Inval.;Inval.;Inval.;Inval.;0;Inval.;19.6;17.3;16.6;965.3;78.90;0.21;8.99;3.27;5.04;0.035;0.035;0.012;1;0.000;1;0.000;0;0.002;0;0.002
54.008;0.000;2026-09-01T07:17:31.0Z;0;Inval.;Inval.;Inval.;Inval.;Inval.;0;Inval.;19.4;17.3;16.6;965.6;78.23;0.21;9.00;3.28;5.05;0.035;0.035;0.012;1;0.000;1;0.000;0;0.002;0;0.002
